IdEvaluacion,FechaEvaluacion,IdJugador,IdPosicion,PesoBrutoKg,TallaCorporalCm,TallaSentadoCM,DiametroBiacromial,DiametroToraxTransverso,DiametroToraxAnteroPosterior,DiametroBi-iliocrestideo,DiametroHumeralBiepicondilar,DiametroFemoralBiepicondilar,PerimetroCabeza,PerimetroBrazoRelajado,PerimetroBrazoFlexionadoEnTension,PerimetroAntebrazoMaximo,PerimetroToraxMesoesternal,PerimetroCinturaMinima,PerimetroCaderaMaximo,PerimetroMusloMaximo,PerimetroMusloMedial,PerimetroPantorrillaMaxima,PlieguesTriceps,PlieguesSubescapular,PlieguesSupraespinal,PlieguesAbdominal,PlieguesMusloMedial,PlieguesPantorrilla,Bicipital,Supracrestideo,Sumatoria 6 pliegues,Sumatoria 8 pliegues,MasaPielKg,MasaPielPer,MasaAdiposaKg,MasaAdiposaPer,MasaMuscularKg,MasaMuscularPer,MasaResidualKg,MasaResidualPer,MasaOseaKg,MasaOseaPer,IMO,IAM,ObjetivoGeneral,ObjetivoEspecifico,Comentarios
74,12/06/2023,277,16,"64,4","168,7","93,2","39,4","27,3","18,3","26,7",7,"9,8","55,4","28,3","30,6","26,4","90,6","71,8","94,2",56,"55,7","35,9",6,"5,8","5,2","6,2","6,4",4,,,"33,6",,"3,60","0,056","11,42","0,179","33,45","0,525","7,19","0,113","8,07","0,127","4,15","0,34",,,
75,19/07/2023,277,16,"64,5","168,7","93,2","39,4","27,3","18,3","26,7",7,"9,8","55,4",29,"31,4","25,8","91,2","71,1","94,1","56,4",56,"36,2","5,8","5,6","5,2","5,8","5,4",4,,,"31,8",,"3,60","0,056","11,12","0,174","34,16","0,534","7,08","0,111","8,07","0,126","4,23","0,33",,,
76,23/08/2023,277,16,"65,6","168,7","93,2","39,4","27,3","18,3","26,7",7,"9,8","55,4",29,"31,4","26,4","89,9","72,3",95,"56,6","55,9","36,2","5,6","5,6","5,2","5,6","5,8","3,8",,,"31,6",,"3,60","0,056","11,09","0,173","33,97","0,530","7,32","0,114","8,07","0,126","4,21","0,33",,,
77,29/09/2023,277,16,"65,0","168,7","93,2","39,4","27,3","18,3","26,7",7,"9,8","55,4","28,6","31,2",26,"90,4","70,4","94,6","56,6","56,3","36,2","5,8","5,8","5,4",6,6,4,,,33,,"3,60","0,057","11,32","0,178","33,76","0,530","6,94","0,109","8,07","0,127","4,18","0,34",,,
78,19/10/2023,277,16,"64,7","168,7","93,2","39,4","27,3","18,3","26,7",7,"9,8","55,4","28,8","31,2","26,4","90,2","71,2","95,4","57,1","56,7","35,8","5,2",6,"5,4","6,6","5,6","4,2",,,33,,"3,60","0,056","11,32","0,177","34,02","0,531","7,05","0,110","8,07","0,126","4,22","0,33",Mantener Composición Corporal,0,El jugador mantiene una buena composición.
79,29/09/2022,308,10,"74,2","169,2","83,6","38,9","24,4",20,"22,8","7,2","10,2","54,2","32,6","34,5","28,4","98,7","79,4","97,6","59,4","57,9","37,8","5,4","6,8","6,8","9,8","5,8","3,8",,,"38,4",,"3,82","0,053","12,30","0,170","41,19","0,570","7,79","0,108","7,11","0,099","5,79","0,30",,,
80,14/07/2023,308,10,"74,3","169,2","83,6","38,9","24,4",20,"22,8","7,2","10,2","54,2","32,6","35,1","28,7","99,2","82,3","99,2","59,6","57,6","38,4","5,8","8,2","7,4","10,8","5,8","4,8",,,"42,8",,"3,82","0,052","13,04","0,177","41,47","0,563","8,18","0,111","7,11","0,097","5,83","0,31",Disminuir Masa Adiposa,1500,El jugador mantiene una adecuada composición corporal. Puede mejorar ideal -2 Kg
81,5/04/2023,302,18,"73,4","180,9","93,5","39,2","31,5","22,4","30,3",7,10,"57,2","29,5","33,4","27,8","94,4","81,8","94,4",57,"55,4","36,4",6,"5,8","6,4","8,6","10,8",4,,,"41,6",,"4,12","0,055","15,14","0,201","36,75","0,487","10,51","0,139","8,94","0,119","4,11","0,41",,,
82,12/06/2023,302,18,"73,0","180,9","93,5","39,2","31,5","22,4","30,3",7,10,"57,2","30,3",34,"27,8","95,4","79,9","94,2","56,9","54,3","35,8","5,6","6,8","7,4","10,2","8,6","5,8",,,"44,4",,"4,12","0,054","15,67","0,206","37,21","0,490","10,06","0,132","8,94","0,118","4,16","0,42",,,
83,10/07/2023,302,18,"76,8","180,9","93,5","39,2","31,5","22,4","30,3",7,10,"57,2","31,6","34,7","28,5","96,7","81,4","96,6",58,"55,9","36,4","6,4",7,10,"9,6","8,6","5,6",,,"47,2",,"4,12","0,052","16,21","0,205","39,32","0,498","10,38","0,131","8,94","0,113","4,40","0,41",,,
84,18/08/2023,302,18,"79,0","180,9","93,5","39,2","31,5","22,4","30,3",7,10,"57,2","31,5","34,4","28,5","97,6","83,2","97,2","59,3","58,1","37,4","6,8",7,11,"12,4","9,8","5,8",,,"52,8",,"4,12","0,051","17,27","0,212","40,44","0,497","10,55","0,130","8,94","0,110","4,52","0,43",,,
85,27/09/2023,302,18,"78,6","180,9","93,5","39,2","31,5","22,4","30,3",7,10,"57,2","31,6","34,6","28,7","98,5",83,"98,8",59,"57,4","37,6","6,4","6,8","11,2",13,"9,2","5,8",,,"52,4",,"4,12","0,050","17,19","0,210","41,10","0,502","10,48","0,128","8,94","0,109","4,60","0,42",,,
86,20/10/2023,302,18,"79,0","180,9","93,5","39,2","31,5","22,4","30,3",7,10,"57,2","31,6","33,9","28,6","99,2","83,6","100,1",60,58,"37,8","5,8","7,2","10,4","14,4","8,8",6,,,"52,6",,"4,12","0,050","17,23","0,208","41,95","0,507","10,51","0,127","8,94","0,108","4,69","0,41",Disminuir Masa Adiposa,1500,El porcentaje de t adiposo puede elevarse como consecuencia de una m muscular dimisnuída. Obj final mantener
87,28/03/2023,307,17,"74,8","178,8","94,8","43,5","30,5","19,2","29,8","6,9","10,4",56,"27,8","31,4","26,8","95,9","78,6","98,6","56,2","55,7","35,8","5,8","6,8","7,2","9,6","4,8","4,2",,,"38,4",,"3,98","0,054","14,12","0,192","36,23","0,493","9,09","0,124","10,08","0,137","3,59","0,39",,,
88,17/05/2023,307,17,"71,5","178,8","94,8","43,5","30,5","19,2","29,8","6,9","10,4",56,"26,3","29,8","25,8","94,6","79,3","95,4","53,5","52,2",35,"5,8","5,8","5,4","6,6","4,2","4,2",,,32,,"3,98","0,057","12,93","0,186","33,28","0,478","9,41","0,135","10,08","0,145","3,30","0,39",,,
89,20/06/2023,307,17,"71,4","178,8","94,8","43,5","30,5","19,2","29,8","6,9","10,4",56,"25,6","29,7","25,8","93,9","78,5","94,6",53,"52,6","34,8","4,8",6,"5,4","5,6","4,6",4,,,"30,4",,"3,98","0,058","12,63","0,184","32,45","0,474","9,32","0,136","10,08","0,147","3,22","0,39",,,
90,10/07/2023,307,17,"72,2","178,8","94,8","43,5","30,5","19,2","29,8","6,9","10,4",56,26,"29,9","25,9","92,9","78,4","95,6","53,8","52,8","35,6","5,6","6,8",6,"6,6","4,8","3,8",,,"33,6",,"3,98","0,058","13,23","0,191","32,71","0,472","9,24","0,133","10,08","0,146","3,24","0,40",,,
91,23/08/2023,307,17,"73,8","178,8","94,8","43,5","30,5","19,2","29,8","6,9","10,4",56,"26,6","30,8","26,4","93,6","78,1","96,6","55,9","53,6","36,4",6,"6,8","6,2",7,5,"3,8",,,"34,8",,"3,98","0,056","13,45","0,189","34,67","0,486","9,16","0,128","10,08","0,141","3,44","0,39",,,
92,28/09/2023,307,17,"74,5","178,8","94,8","43,5","30,5","19,2","29,8","6,9","10,4",56,"26,8","30,8","26,4","94,4","79,4","97,4",56,"55,4","35,9","5,6","6,8","6,6","9,8","4,6","3,8",,,"37,2",,"3,98","0,055","13,89","0,192","35,04","0,485","9,24","0,128","10,08","0,140","3,48","0,40",,,
93,20/10/2023,307,17,"74,4","178,8","94,8","43,5","30,5","19,2","29,8","6,9","10,4",56,"27,4","30,8","26,7","94,5","77,6","97,8","55,3","54,6","35,8","5,6","6,6",6,9,"4,4","3,2",,,"34,8",,"3,98","0,056","13,45","0,188","35,26","0,492","8,94","0,125","10,08","0,141","3,50","0,38",Aumentar Masa Muscular,500,El porcentaje de t adiposo puede elevarse como consecuencia de una m muscular dimisnuída.
94,28/03/2023,305,16,"68,3",172,"93,9","40,1","28,7","20,2","27,5","6,7","9,7","55,3","27,8","31,2","25,5","96,7","74,9","95,4","54,8","53,1","36,8","5,8","6,6","8,4","9,4",11,"5,2",,,"46,4",,"3,81","0,055","14,19","0,206","34,60","0,502","8,22","0,119","8,15","0,118","4,25","0,41",,,
95,17/05/2023,305,16,"70,0",172,"93,9","40,1","28,7","20,2","27,5","6,7","9,7","55,3","28,2","31,4",26,"97,6","76,4","96,4","55,4","53,6","37,4","6,4","6,6","7,8",12,"9,8",5,,,"47,6",,"3,81","0,054","14,40","0,204","35,91","0,509","8,35","0,118","8,15","0,115","4,41","0,40",,,
96,23/06/2023,305,16,"70,2",172,"93,9","40,1","28,7","20,2","27,5","6,7","9,7","55,3","29,1","31,7","25,8","97,5","74,6","97,2","55,6","54,4","36,8",6,"7,2","7,2","10,8","10,6","5,2",,,47,,"3,81","0,054","14,29","0,204","35,84","0,511","8,08","0,115","8,15","0,116","4,40","0,40",,,
97,18/07/2023,305,16,"71,6",172,"93,9","40,1","28,7","20,2","27,5","6,7","9,7","55,3",29,"31,8","25,7","98,8","78,8","97,1","55,9","54,3","37,3",7,8,"8,4","9,8","10,8","5,8",,,"49,8",,"3,81","0,053","14,77","0,205","36,27","0,504","8,94","0,124","8,15","0,113","4,45","0,41",,,
98,23/08/2023,305,16,"70,4",172,"93,9","40,1","28,7","20,2","27,5","6,7","9,7","55,3",29,"32,1","26,2","99,1","75,4","96,6","56,6","54,6","37,6","6,8","7,6","8,2","9,4","11,4","4,8",,,"48,2",,"3,81","0,053","14,50","0,202","37,12","0,516","8,31","0,116","8,15","0,113","4,55","0,39",,,
99,29/09/2023,305,16,"71,5",172,"93,9","40,1","28,7","20,2","27,5","6,7","9,7","55,3","28,8","32,1","26,1","99,3","76,2","97,1","56,3","55,1","37,3","6,4","7,6","8,8","10,6","11,8",5,,,"50,2",,"3,81","0,053","14,84","0,206","36,82","0,511","8,39","0,117","8,15","0,113","4,52","0,40",Aumentar Masa Muscular,500,Se debe disminuir el t. adiposo Obj final -2 Kg
100,17/03/2023,313,18,"91,9","183,2","96,8",43,"31,5","23,1",29,"7,2","10,4","58,8","35,8","37,3","30,4","105,3","87,4","103,4","62,3","60,6","39,6","9,6","10,6","8,2","18,4","9,4",5,,,"61,2",,"4,42","0,047","19,44","0,207","48,54","0,517","11,37","0,121","10,13","0,108","4,79","0,40",,,
101,9/06/2023,313,18,"93,4","183,2","96,8",43,"31,5","23,1",29,"7,2","10,4","58,8","35,7","37,6","30,3","107,4","88,6","104,4","62,6","60,6","40,8","9,4","10,8",7,"20,6","9,2","5,2",,,"62,2",,"4,42","0,046","19,64","0,205","50,09","0,523","11,47","0,120","10,13","0,106","4,94","0,39",,,
102,20/06/2023,313,18,"93,3","183,2","96,8",43,"31,5","23,1",29,"7,2","10,4","58,8",36,"37,6","30,4","106,9","88,8",104,"63,6","59,6","40,4","9,6",11,7,"16,8","8,8",5,,,"58,2",,"4,42","0,046","18,86","0,197","50,35","0,527","11,75","0,123","10,13","0,106","4,97","0,37",,,
103,14/07/2023,313,18,"92,7","183,2","96,8",43,"31,5","23,1",29,"7,2","10,4","58,8","35,6","37,8","30,2","106,8","88,4","104,4","62,9","60,9","40,2","9,6",11,"7,2","14,6","8,2","4,6",,,"55,2",,"4,42","0,047","18,27","0,194","49,76","0,527","11,81","0,125","10,13","0,107","4,91","0,37",,,
104,18/08/2023,313,18,"92,9","183,2","96,8",43,"31,5","23,1",29,"7,2","10,4","58,8","36,1","37,8",30,"108,1","87,6","104,4","62,9","61,4","39,8","9,6",10,7,14,"7,6","4,2",,,"52,4",,"4,42","0,047","17,73","0,187","50,59","0,535","11,69","0,124","10,13","0,107","4,99","0,35",,,
105,29/09/2023,313,18,"92,3","183,2","96,8",43,"31,5","23,1",29,"7,2","10,4","58,8","36,3","37,6","30,2","106,9","86,5","104,4","62,6","59,6","39,8","9,4","10,2","7,2",14,"7,6","4,2",,,"52,6",,"4,42","0,047","17,77","0,189","50,09","0,534","11,46","0,122","10,13","0,108","4,94","0,35",,,
106,18/10/2023,313,18,"91,4","183,2","96,8",43,"31,5","23,1",29,"7,2","10,4","58,8","35,9","37,7","30,1","106,4","85,8","104,4","61,6","60,1","39,8","7,6","9,8","6,6","11,8","7,6","4,6",,,48,,"4,42","0,048","16,87","0,183","49,44","0,537","11,46","0,125","10,13","0,110","4,88","0,34",Disminuir Masa Adiposa,1000,Se debe disminuir el porcentaje de tejido adiposo. Obj Final - 2 Kg
107,17/03/2023,280,18,"76,4","176,4","94,5","41,1","28,4","19,7","28,2","6,7","10,3","54,5","31,3",34,"26,5","93,5","79,5","101,6",61,"58,4","36,6","8,8",11,"12,6","16,4",8,"3,2",,,60,,"4,01","0,053","17,55","0,230","37,58","0,492","8,54","0,112","8,69","0,114","4,32","0,47",,,
108,17/05/2023,280,18,"76,2","176,4","94,5","41,1","28,4","19,7","28,2","6,7","10,3","54,5","31,2","34,3","26,4","93,3","79,7","101,8","60,7","59,2","36,6",11,12,"12,6","16,4","8,4",5,,,"65,4",,"4,01","0,053","18,53","0,243","36,57","0,479","8,58","0,112","8,69","0,114","4,21","0,51",,,
109,9/06/2023,280,18,"76,2","176,4","94,5","41,1","28,4","19,7","28,2","6,7","10,3","54,5","31,4","34,8","26,9","95,2","78,4","101,6","60,4","57,9","36,5","9,8","11,6","11,6","15,4","8,4","5,2",,,62,,"4,01","0,052","17,91","0,234","37,68","0,491","8,38","0,109","8,69","0,113","4,34","0,48",,,
110,19/07/2023,280,18,"78,1","176,4","94,5","41,1","28,4","19,7","28,2","6,7","10,3","54,5",32,"34,8","26,7","95,8","78,6","102,2","60,3","58,6","36,9",10,"11,2",13,16,"7,8","4,2",,,"62,2",,"4,01","0,052","17,95","0,232","38,47","0,496","8,39","0,108","8,69","0,112","4,43","0,47",,,
111,23/08/2023,280,18,"79,0","176,4","94,5","41,1","28,4","19,7","28,2","6,7","10,3","54,5","31,8","35,4","27,4","96,2","79,6","102,8","62,3","59,4",37,"9,6","12,2",16,16,8,"3,8",,,"65,6",,"4,01","0,050","18,56","0,233","39,68","0,499","8,58","0,108","8,69","0,109","4,57","0,47",,,
112,27/09/2023,280,18,"78,1","176,4","94,5","41,1","28,4","19,7","28,2","6,7","10,3","54,5","31,5","34,8","26,8","95,4","80,5","102,4","61,5","59,9","36,9","9,8","11,8","14,8",16,"7,4","3,6",,,"63,4",,"4,01","0,051","18,16","0,232","38,72","0,494","8,75","0,112","8,69","0,111","4,46","0,47",,,
113,18/10/2023,280,18,"77,5","176,4","94,5","41,1","28,4","19,7","28,2","6,7","10,3","54,5","31,4","34,4","26,6","93,6","78,8","102,4","61,4","50,8","36,7","8,4","10,2","12,4","15,8","6,6","3,4",,,"56,8",,"4,01","0,053","16,97","0,222","38,24","0,501","8,44","0,111","8,69","0,114","4,40","0,44",Disminuir Masa Adiposa,1000,Se debe disminuir el porcentaje de tejido adiposo. Se debe disminuir el t. adiposo en 3 Kg
114,3/04/2023,317,18,"81,2","181,1","95,2","44,3",33,"19,8","30,6","7,3","10,5","56,8","30,4","34,4","27,5","98,6","82,1","101,6","60,6","60,9",37,7,8,8,12,7,5,,,47,,"4,15","0,051","16,21","0,197","40,70","0,495","10,25","0,125","10,88","0,132","3,74","0,40",,,
115,23/06/2023,317,18,"79,3","181,1","95,2","44,3",33,"19,8","30,6","7,3","10,5","56,8","29,8","34,1","27,4","100,1","78,8","99,8","59,7","58,4","37,2","7,4","7,6","8,8","10,4","5,8","5,2",,,"45,2",,"4,15","0,051","15,87","0,195","40,89","0,502","9,71","0,119","10,88","0,134","3,76","0,39",,,
116,18/07/2023,317,18,"79,3","181,1","95,2","44,3",33,"19,8","30,6","7,3","10,5","56,8","30,5","33,8","27,6","100,8","79,4","98,9","59,4","57,9","36,9","7,2","7,8","6,2","9,6","5,8","4,6",,,"41,2",,"4,15","0,051","15,11","0,186","41,42","0,509","9,87","0,121","10,88","0,134","3,81","0,36",,,
117,31/08/2023,317,18,"80,3","181,1","95,2","44,3",33,"19,8","30,6","7,3","10,5","56,8","30,1",34,"27,2","101,3","79,6","100,2","61,1","59,4","36,8","6,8",8,7,12,7,"4,6",,,"45,4",,"4,15","0,050","15,91","0,193","41,85","0,507","9,76","0,118","10,88","0,132","3,85","0,38",,,
118,29/09/2023,317,18,"80,3","181,1","95,2","44,3",33,"19,8","30,6","7,3","10,5","56,8","30,4","33,6","27,1","100,9","80,6","101,1",61,"59,6","36,6","7,2","7,6",9,"11,6",6,"4,6",,,46,,"4,15","0,050","16,02","0,193","41,77","0,505","9,98","0,121","10,88","0,131","3,84","0,38",Disminuir Masa Adiposa,1500,El porcentaje de t adiposo puede elevarse como consecuencia de una m muscular dimisnuída. Obj final -2 Kg t. adiposo. + 2 Kg m. muscular
119,3/04/2023,304,18,"76,4","173,5","95,5","39,3","30,2",22,"28,3","7,2","10,7","56,7","31,4","34,8","28,4","98,1","81,2","97,7","57,9","57,5","39,2","5,8","8,2","6,4","8,8","6,8","4,2",,,"40,2",,"3,94","0,051","13,41","0,174","40,63","0,526","10,17","0,132","9,06","0,117","4,48","0,33",,,El jugador mantiene una adecuada composición
120,19/05/2023,304,18,"77,5","173,5","95,5","39,3","30,2",22,"28,3","7,2","10,7","56,7","31,6","34,4","28,6","99,4","81,2",98,"58,4","57,4","39,4",6,"8,6",8,"9,4","6,8","4,6",,,"43,4",,"3,94","0,050","13,97","0,178","41,48","0,528","10,13","0,129","9,06","0,115","4,58","0,34",,,
121,9/06/2023,304,18,"77,3","173,5","95,5","39,3","30,2",22,"28,3","7,2","10,7","56,7","31,2","34,9","28,8","99,6","79,6","97,9",58,"53,8","39,2",6,"8,2","7,6",10,7,"4,8",,,"43,6",,"3,94","0,050","14,01","0,180","41,23","0,529","9,78","0,125","9,06","0,116","4,55","0,34",,,
122,19/07/2023,304,18,"76,4","173,5","95,5","39,3","30,2",22,"28,3","7,2","10,7","56,7","32,2","35,3","28,8","100,7","78,4","97,9","57,8","54,8","38,9","5,8",8,"6,4",8,6,"4,6",,,"38,8",,"3,94","0,051","12,96","0,166","42,14","0,542","9,73","0,125","9,06","0,117","4,65","0,31",,,
123,18/08/2023,304,18,"77,4","173,5","95,5","39,3","30,2",22,"28,3","7,2","10,7","56,7",32,"35,2","28,8","99,4","79,2","98,4",58,"55,4","39,2","5,8",8,"6,4",8,6,"4,6",,,"38,8",,"3,94","0,051","13,17","0,170","41,68","0,537","9,83","0,127","9,06","0,117","4,60","0,32",,,
124,27/09/2023,304,18,"76,6","173,5","95,5","39,3","30,2",22,"28,3","7,2","10,7","56,7","31,3","34,9","28,5","100,1","78,6","98,4","58,6","56,6","39,2","5,8","7,6",6,"7,6","5,6","4,6",,,"37,2",,"3,94","0,051","12,89","0,166","41,91","0,541","9,73","0,126","9,06","0,117","4,63","0,31",,,
125,20/10/2023,304,18,"76,2","173,5","95,5","39,3","30,2",22,"28,3","7,2","10,7","56,7","31,6","34,9","28,6","100,9","78,8","98,8","58,3","56,6","38,8","6,2","8,4","7,6","8,2","6,6","4,2",,,"41,2",,"3,94","0,050","13,59","0,174","41,88","0,536","9,73","0,126","9,06","0,117","4,62","0,32",Mantener Composición Corporal,0,
126,4/05/2023,306,16,"66,2","169,1","91,6","41,2",30,"20,7","25,3","6,7",10,"54,5","30,2","33,7","27,4",95,"70,6","89,8","55,3","55,3","36,3","3,4","6,8","6,2","6,4","4,6","3,4",,,"30,8",,"3,67","0,055","10,99","0,163","36,68","0,546","7,90","0,117","7,99","0,119","4,59","0,30",,,
127,23/06/2023,306,16,"67,4","169,1","91,6","41,2",30,"20,7","25,3","6,7",10,"54,5","30,7","33,6",28,"96,1","72,3","91,4","55,8","55,6","36,3",4,6,"5,4","4,2",5,"2,8",,,"27,4",,"3,67","0,054","10,46","0,153","37,78","0,554","8,32","0,122","7,99","0,117","4,73","0,28",Mantener Composición Corporal,0,El porcentaje de t adiposo puede elevarse como consecuencia de una m muscular dimisnuída. Obj final -2 Kg t. adiposo.
128,17/03/2023,318,18,"80,1","183,8","96,2","39,6","30,6","22,2","28,2","7,3","10,8","56,5","31,7","34,8","27,4","98,3","78,3","101,4","58,3","56,3","38,2","8,2","7,2","5,2",9,"8,6","5,6",,,"43,8",,"4,20","0,053","16,18","0,204","40,41","0,509","9,73","0,123","8,88","0,112","4,55","0,40",,,
129,28/04/2023,318,18,"80,0","183,8","96,2","39,6","30,6","22,2","28,2","7,3","10,8","56,5",31,"33,7","27,2","97,6","78,3","100,6","59,6","58,3","38,4","7,8","7,2",4,"10,6",9,"5,6",,,"44,2",,"4,20","0,053","16,26","0,205","40,36","0,509","9,63","0,121","8,88","0,112","4,55","0,40",,,
130,20/06/2023,318,18,"81,3","183,8","96,2","39,6","30,6","22,2","28,2","7,3","10,8","56,5","32,1","34,3","27,7","100,1","78,2","101,1",59,"56,4","38,3","9,2",7,"5,4","12,2","10,2","5,8",,,"49,8",,"4,20","0,052","17,36","0,213","41,54","0,510","9,51","0,117","8,88","0,109","4,68","0,42",,,
131,26/07/2023,318,18,"79,9","183,8","96,2","39,6","30,6","22,2","28,2","7,3","10,8","56,5","31,8","33,7","27,4","101,1","78,8","101,1","58,6",56,"38,3","8,6",7,"5,2","11,4","10,8",5,,,48,,"4,20","0,052","17,01","0,209","41,66","0,512","9,68","0,119","8,88","0,109","4,69","0,41",,,
132,16/08/2023,318,18,"80,7","183,8","96,2","39,6","30,6","22,2","28,2","7,3","10,8","56,5","31,2","33,6","27,4","100,2",79,101,"58,7","57,5","38,6","8,6","7,8","5,8","10,8","10,8",5,,,"48,8",,"4,20","0,052","17,16","0,212","41,04","0,506","9,76","0,120","8,88","0,110","4,62","0,42",,,
133,19/10/2023,318,18,"80,3","183,8","96,2","39,6","30,6","22,2","28,2","7,3","10,8","56,5","31,7","34,7","27,6","99,6","80,4","101,3","58,3","57,6","38,4","8,8","7,4","5,8","13,2",11,"5,2",,,"51,4",,"4,20","0,052","17,67","0,217","40,78","0,501","9,89","0,121","8,88","0,109","4,59","0,43",Disminuir Masa Adiposa,500,Se debe disminuir el porcentaje de tejido adiposo. Obj final - 1 Kg
134,29/03/2023,312,17,"79,3","173,6",95,40,"31,7","21,1","29,3","7,2","10,1","59,5","32,5","34,1","27,6","100,6","83,6","98,9","59,5","57,9","38,6","7,6","7,2","6,4","7,8","8,4",5,,,"42,4",,"4,05","0,051","13,82","0,173","41,78","0,522","10,79","0,135","9,54","0,119","4,38","0,33",,,
135,4/05/2023,312,17,"80,2","173,6",95,40,"31,7","21,1","29,3","7,2","10,1","59,5","32,6","34,8","28,4","101,8","83,6","98,7","59,6","58,8","38,7","7,2","6,6",6,"7,4","8,4","4,6",,,"40,2",,"4,05","0,050","13,43","0,166","42,90","0,531","10,82","0,134","9,54","0,118","4,50","0,31",,,
136,9/06/2023,312,17,"79,7","173,6",95,40,"31,7","21,1","29,3","7,2","10,1","59,5","32,4","34,8","28,4","101,2","82,7","99,3","58,9","57,5","38,6","7,8","6,6","5,8",9,8,"4,8",,,42,,"4,05","0,051","13,75","0,172","42,19","0,527","10,55","0,132","9,54","0,119","4,42","0,33",,,
137,18/07/2023,312,17,"80,6","173,6",95,40,"31,7","21,1","29,3","7,2","10,1","59,5","32,6","35,4","28,1","102,2","82,9","99,4","59,3","57,4","39,1","6,6","7,2","6,6","8,4","7,6","4,2",,,"40,6",,"4,05","0,050","13,50","0,167","43,14","0,534","10,62","0,131","9,54","0,118","4,52","0,31",,,
138,18/08/2023,312,17,"79,9","173,6",95,40,"31,7","21,1","29,3","7,2","10,1","59,5","32,4","34,8","27,9","102,9","83,2","99,6","59,4",58,"38,8",7,"6,8","5,4","8,2","7,4",4,,,"38,8",,"4,05","0,050","13,19","0,163","43,23","0,536","10,69","0,133","9,54","0,118","4,53","0,31",,,
139,29/09/2023,312,17,"80,7","173,6",95,40,"31,7","21,1","29,3","7,2","10,1","59,5","32,8","34,9",28,"103,4","83,6","99,8","60,1","58,7","38,8","7,2",7,7,"10,2",7,"4,2",,,"42,6",,"4,05","0,049","13,85","0,169","43,90","0,535","10,65","0,130","9,54","0,116","4,60","0,32",,,
140,18/10/2023,312,17,"81,3","173,6",95,40,"31,7","21,1","29,3","7,2","10,1","59,5","32,6","34,9","28,3","103,8","84,7","100,9","59,4","57,7","39,2",7,8,"6,6","8,4",8,4,,,42,,"4,05","0,049","13,75","0,167","43,77","0,533","10,97","0,134","9,54","0,116","4,59","0,31",Mantener Composición Corporal,0,El jugador mantiene una optima composición corporal.
141,17/05/2023,278,17,"58,6","168,8","87,7","40,4","27,4","20,3","26,3","6,5","9,4","53,9",28,"30,1","24,8","87,7",68,"87,6","50,1","50,3","33,4","6,6","8,8","5,6","6,8","7,8","4,8",,,"40,4",,"3,47","0,060","12,56","0,216","27,65","0,476","6,81","0,117","7,58","0,131","3,65","0,45",,,
142,12/06/2023,278,17,"58,4","168,8","87,7","40,4","27,4","20,3","26,3","6,5","9,4","53,9",28,"30,1","24,8","88,8","71,2","89,4","50,8","49,6","33,4",9,"8,4","5,6","7,8","8,4","4,8",,,44,,"3,47","0,058","13,16","0,221","28,03","0,471","7,29","0,123","7,58","0,127","3,70","0,47",,,
143,19/07/2023,278,17,"58,4","168,8","87,7","40,4","27,4","20,3","26,3","6,5","9,4","53,9","28,5","31,2","24,8","89,8","69,6","89,8","49,7","49,3","33,6",9,"8,6","5,8","7,6","9,6","5,4",,,46,,"3,47","0,058","13,49","0,226","28,02","0,470","7,04","0,118","7,58","0,127","3,70","0,48",,,
144,16/08/2023,278,17,"60,1","168,8","87,7","40,4","27,4","20,3","26,3","6,5","9,4","53,9","28,5","31,2","25,4","89,8","70,4","89,6",52,51,"34,4","8,6","8,4",7,10,"9,2","5,2",,,"48,4",,"3,47","0,056","13,89","0,226","29,60","0,481","7,04","0,114","7,58","0,123","3,90","0,47",,,
145,27/09/2023,278,17,"59,2","168,8","87,7","40,4","27,4","20,3","26,3","6,5","9,4","53,9",28,"30,4","25,3","89,2","70,4",90,"52,4","51,4","34,3",8,"8,6",6,"7,8","8,6","5,2",,,"44,2",,"3,47","0,057","13,19","0,217","29,37","0,483","7,16","0,118","7,58","0,125","3,87","0,45",,,
146,19/10/2023,278,17,"59,3","168,8","87,7","40,4","27,4","20,3","26,3","6,5","9,4","53,9","28,3","29,9","25,4","90,4","70,5","89,8","51,8","51,7","34,3","7,8","8,8","7,4","9,2","9,8","5,2",,,"48,2",,"3,47","0,056","13,85","0,225","29,61","0,481","7,10","0,115","7,58","0,123","3,91","0,47",Aumentar Masa Muscular,1000,El porcentaje de t adiposo puede elevarse como consecuencia de una m muscular dimisnuída. Obj final +3 Kg Masa Muscular
147,28/03/2023,275,16,"72,9","176,2","93,6","40,3","29,5","19,6","26,7","6,8","9,7","56,3","29,5","31,8","26,4","96,9","74,6","97,6","57,3","56,8","37,3","5,8","8,6","7,8","7,6","10,2","5,8",,,"45,8",,"3,92","0,054","14,94","0,207","37,01","0,513","8,30","0,115","8,02","0,111","4,62","0,40",,,
148,19/05/2023,275,16,"72,5","176,2","93,6","40,3","29,5","19,6","26,7","6,8","9,7","56,3","29,6","31,7","26,7","97,6","74,3","96,9","56,8","56,3","37,4","6,2","8,2",8,"7,4","9,8",5,,,"44,6",,"3,92","0,054","14,73","0,203","37,47","0,518","8,26","0,114","8,02","0,111","4,67","0,39",,,
